Config,SetupTime (s),KernelTime (s),TeardownTime (s),SetupBandwidth (GB/s),KernelBandwidth (GB/s),TeardownBandwidth (GB/s)
bfs_1cores,95.2576,16.968171,11.878229000000001,1,1,9.783915995041752
bfs_2cores,95.94135,9.283887,11.935763000000001,1,1,9.760702721331178
bfs_3cores,95.71947,6.87822,11.869309999999999,1,1,9.679063153045561
bfs_4cores,95.41765,5.838842,12.188507999999999,1,1,9.419642546227973
bfs_5cores,95.85787,5.255052,12.595077999999994,1,1,9.143794165890395
bfs_6cores,96.12024,4.809983,12.212777000000006,1,1,9.430828671156574
bfs_7cores,96.80228,4.65991,12.216810000000006,1,1,9.45870097444501
bfs_8cores,95.97453,11.853249,12.536221000000003,1,1,9.321522107013013
bfs_9cores,96.61901,10.734188,12.249802000000006,1,1,9.504726043349137
bfs_10cores,96.33786,5.788669,12.298470999999992,1,1,9.449957546247308
bfs_11cores,96.87649,5.535892,12.301617999999994,1,1,9.428630991178695
bfs_12cores,95.13497,3.411773,11.87125700000001,1,1,9.749909352786474
bfs_13cores,96.40805,2.852602,12.099347999999996,1,1,9.565173665637657
bfs_14cores,95.96984,3.041143,12.291016999999988,1,1,9.418123579686084
bfs_15cores,96.04438,3.240364,12.275255999999999,1,1,9.422025235645041
bfs_16cores,95.34437,3.675031,12.252598999999993,1,1,9.496700312846285
bfs_17cores,96.12908,2.978697,12.158222999999989,1,1,9.558187967673641
bfs_18cores,95.74663,3.129664,12.197706000000002,1,1,9.51962022705948
bfs_19cores,94.85242,3.095442,12.201138000000006,1,1,9.489979066809273
bfs_20cores,95.03157,3.282648,12.223781999999995,1,1,9.47267347822532
bfs_21cores,95.77952,2.872096,12.089383999999995,1,1,9.565443496098466
bfs_22cores,95.77173,2.806281,12.253988999999988,1,1,9.447524187337732
bfs_23cores,96.11599,2.851517,12.19449300000001,1,1,9.482996444567553
bfs_24cores,102.80349,2.844784,12.289726000000005,1,1,9.466449649744831
bfs_25cores,95.94986,2.866584,11.94755600000001,1,1,9.720529565751649
bfs_26cores,95.68028,2.846897,12.330823000000008,1,1,9.424008071251297
bfs_27cores,94.82134,2.828722,12.314937999999998,1,1,9.401138326721192
bfs_28cores,95.00421,2.686823,12.309967000000004,1,1,9.368590548325594
bfs_29cores,96.59321,2.628853,11.992937000000005,1,1,9.621482392978463
bfs_30cores,95.84857,2.576504,12.378926000000007,1,1,9.322721394188797
bfs_31cores,95.89743,4.76334,12.122230000000002,1,1,9.571952835873663
bfs_32cores,98.49592,4.881406,12.464674,1,1,9.285002797376071
heartwall_1cores,0.00082,78.3401,0.20207999999999515,204.8,1,1
heartwall_2cores,0.00164,40.09789,0.20346999999999582,204.8,1,1
heartwall_3cores,0.00112,26.33588,0.19500000000000028,204.8,1,1.0419795705435893
heartwall_4cores,0.00097,20.28213,0.20890000000000342,204.8,1,1.1654486500181722
heartwall_5cores,0.00079,17.2098,0.21540999999999855,204.8,1,1
heartwall_6cores,0.00095,14.14847,0.21458000000000155,204.8,1,1
heartwall_7cores,0.00104,12.61736,0.23260000000000147,204.8,1,1.1179810159931138
heartwall_8cores,0.00095,15.66976,0.222290000000001,204.8,1,1.2463255317432131
heartwall_9cores,0.00089,18.29992,0.22619000000000256,204.8,1,1.2718257862221882
heartwall_10cores,0.00082,16.05914,0.2270399999999988,204.8,1,1.2514669580831639
heartwall_11cores,0.00109,10.15033,0.23258000000000045,204.8,1,1.1391329529968175
heartwall_12cores,0.00085,8.09654,0.24761000000000166,204.8,1,1
heartwall_13cores,0.00108,6.53263,0.24929000000000023,204.8,1,1
heartwall_14cores,0.00081,6.65383,0.24935999999999936,204.8,1,1
heartwall_15cores,0.00092,6.55444,0.2546400000000002,204.8,1,1
heartwall_16cores,0.00116,7.01305,0.2557900000000002,204.8,1,1
heartwall_17cores,0.00084,5.09862,0.2565399999999993,204.8,1,1
heartwall_18cores,0.00099,5.99341,0.25459999999999994,204.8,1,1.1411184472584444
heartwall_19cores,0.00089,7.47231,0.26779999999999937,204.8,1,1
heartwall_20cores,0.0009,5.34484,0.2652600000000005,204.8,1,1
heartwall_21cores,0.03332,6.21112,0.2865599999999997,62.94206012542617,1,2.193666395265217
heartwall_22cores,0.00098,5.08386,0.2951600000000001,204.8,1,1.9960475933541126
heartwall_23cores,0.00088,4.98254,0.29757999999999907,204.8,1,2.291230584550044
heartwall_24cores,0.00094,6.38673,0.3073300000000003,204.8,1,1.8847025675645055
heartwall_25cores,0.00094,5.17593,0.30813000000000024,204.8,1,1.9052921401019038
heartwall_26cores,0.03339,3.58527,0.3163400000000003,56.82274626702605,1,1.7958258444964255
heartwall_27cores,0.00092,4.01794,0.2991399999999995,204.8,1,2.1096071462459083
heartwall_28cores,0.0009,5.63189,0.3072100000000004,204.8,1,1.8886342930191038
heartwall_29cores,0.0009,5.08873,0.3233700000000006,204.8,1,1.6978472679988839
heartwall_30cores,0.00085,3.99137,0.3107800000000003,204.8,1,2.045207151945426
heartwall_31cores,0.00156,5.28782,0.3526200000000008,204.8,1,1
heartwall_32cores,0.00092,6.03466,0.34642000000000017,204.8,1,1
hotspot3D_1cores,0.70885,49.19656,51.243590000000005,1,1,1
hotspot3D_2cores,0.70855,24.67089,59.26456,1,1,1
hotspot3D_3cores,1.25311,18.42066,59.10123,1,1,1
hotspot3D_4cores,0.70677,12.58591,57.561319999999995,1,1.132479543742741,1
hotspot3D_5cores,0.70813,12.50391,58.22096,1,1.135609815450815,1
hotspot3D_6cores,0.70624,12.45078,50.56398,1,1.134881112528404,1
hotspot3D_7cores,0.70629,12.37288,57.60783,1,1.179305779759345,1
hotspot3D_8cores,0.70653,8.53658,49.89789,1,2.1307873155722783,1
hotspot3D_9cores,0.70758,16.21089,58.34753000000001,1,1,1
hotspot3D_10cores,0.70666,27.07472,50.69062000000001,1,1,1
hotspot3D_11cores,1.48565,20.65759,50.228759999999994,1,1,1
hotspot3D_12cores,0.70547,6.69731,50.52022,1,3.446999936094223,1
hotspot3D_13cores,0.70714,6.39873,50.83513,1,2.291647922821685,1
hotspot3D_14cores,0.70544,6.38136,50.624199999999995,1,2.4060368739393483,1
hotspot3D_15cores,0.70676,6.36518,50.770059999999994,1,2.2764020570697454,1
hotspot3D_16cores,0.71331,7.62978,50.47891,1,1.9740426774857467,1
hotspot3D_17cores,0.70626,7.04171,58.076029999999996,1,2.1037654706284696,1
hotspot3D_18cores,0.70447,9.27544,50.78209,1,1.654995501884202,1
hotspot3D_19cores,0.70397,8.13116,52.56187,1,1.8340372429821081,1
hotspot3D_20cores,0.7042,12.92184,50.61095999999999,1,1.1435685879910602,1
hotspot3D_21cores,0.70375,8.33222,57.822030000000005,1,1.7752052790617627,1
hotspot3D_22cores,1.28201,6.5314,50.73259,1,2.9640188068126285,1
hotspot3D_23cores,0.70336,6.45651,50.68713,1,3.6315314313319123,1
hotspot3D_24cores,0.7071,13.23266,58.27224000000001,1,1.192995783183487,1
hotspot3D_25cores,0.70336,8.94756,50.77708,1,1.7561707925936458,1
hotspot3D_26cores,2.12895,14.13789,50.99816,1,1.045924790891314,1
hotspot3D_27cores,0.70347,6.77557,54.70596,1,2.0468557008438255,1
hotspot3D_28cores,0.70476,13.08265,58.31759000000001,1,1.3277014688012596,1
hotspot3D_29cores,0.70282,11.37817,54.643010000000004,1,1.2540752200144663,1
hotspot3D_30cores,1.2609,6.77611,50.951989999999995,1,2.0500883388020563,1
hotspot3D_31cores,0.70695,9.10853,58.69152,1,1.5222477127879033,1
hotspot3D_32cores,0.71962,9.91339,50.97199,1,1.4296431655160546,1
hotspot_1cores,80.781,395.9033,71.29369999999994,1,5.672849736766618,1
hotspot_2cores,81.26638,209.02479,71.07183000000003,1,11.00987373859793,1
hotspot_3cores,80.61031,150.37205,71.29564000000002,1,15.543900070484643,1
hotspot_4cores,80.70542,120.0153,72.28527999999997,1,19.634147690412995,1
hotspot_5cores,81.05047,101.1847,71.85882999999997,1,23.45524246272901,1
hotspot_6cores,80.52389,89.99786,71.66325,1,26.448253292463054,1
hotspot_7cores,80.51952,83.13471,71.58577000000001,1,28.537783657656927,1
hotspot_8cores,80.70132,121.13493,71.10475000000002,1,19.370668960236365,1
hotspot_9cores,80.85889,92.84273,71.58237999999999,1,25.401647275024096,1
hotspot_10cores,80.68509,76.16649,71.31942,1,31.146418304498162,1
hotspot_11cores,81.05222,70.98354,72.54123999999999,1,33.369968883829465,1
hotspot_12cores,80.71516,52.64592,71.34592,1,47.15073026513991,1
hotspot_13cores,80.68344,48.77258,71.49498,1,50.70571018384773,1
hotspot_14cores,80.69559,45.38843,71.57198000000001,1,53.55809697201879,1
hotspot_15cores,80.69647,42.02161,71.58891999999997,1,58.43881547318321,1
hotspot_16cores,80.44943,45.05773,71.05184,1,53.227267984480534,1
hotspot_17cores,80.44826,42.91053,71.35221000000001,1,56.38158811464997,1
hotspot_18cores,80.41524,40.5474,71.63336000000001,1,59.41011438334868,1
hotspot_19cores,80.67485,34.46069,71.78346,1,70.1657599483852,1
hotspot_20cores,80.40359,33.55647,71.59394,1,72.22509444370941,1
hotspot_21cores,80.29641,31.97986,71.65073,1,76.17341335961441,1
hotspot_22cores,80.71312,28.84477,71.98511,1,84.60527763507098,1
hotspot_23cores,80.34716,29.19547,71.97537,1,86.4282740872185,1
hotspot_24cores,80.4809,33.16001,71.64308999999999,1,74.334390307863,1
hotspot_25cores,80.78309,28.37176,71.35715,1,86.69467032517632,1
hotspot_26cores,80.82588,27.72988,72.20524,1,88.65740687525827,1
hotspot_27cores,80.83002,26.48048,72.22449999999999,1,92.01668813341075,1
hotspot_28cores,80.40121,25.09426,71.73552999999998,1,99.29835757902985,1
hotspot_29cores,80.93017,24.15473,71.9581,1,102.09940080978498,1
hotspot_30cores,80.4792,22.96031,72.55049,1,109.3790285996494,1
hotspot_31cores,80.57617,33.54889,72.52994,1,72.94734386492196,1
hotspot_32cores,80.45649,27.31405,72.07345999999998,1,89.9791859765818,1
lavaMD_1cores,0.27385,163.44481,0.29833999999999605,1,1,3.136476344144307
lavaMD_2cores,0.27183,81.69788,0.30029000000000394,1,1,2.834356436862995
lavaMD_3cores,0.27267,55.32048,0.3208500000000001,1,1,2.1414950612834653
lavaMD_4cores,0.273,41.55616,0.313839999999999,1,1,2.3439066649401044
lavaMD_5cores,0.27299,33.31289,0.3181200000000004,1,1,2.124248854661132
lavaMD_6cores,0.27308,27.75178,0.3291399999999989,1,1,2.400431333321999
lavaMD_7cores,0.27304,23.82456,0.3383999999999965,1,1,2.144054324539029
lavaMD_8cores,0.27351,58.435,0.3484899999999982,1,1,1.996252001675812
lavaMD_9cores,0.27184,32.89179,0.3173700000000039,1,1,2.0148410855316894
lavaMD_10cores,0.27201,23.83183,0.3441599999999987,1,1,1.758515863505353
lavaMD_11cores,0.2723,21.43532,0.3583799999999968,1,1,1.628748630276258
lavaMD_12cores,0.27319,14.13146,0.38534999999999897,1,1,1.3988271977163655
lavaMD_13cores,0.27227,13.54356,0.38716999999999935,1,1,1.5323801680667435
lavaMD_14cores,0.27354,11.96825,0.4132099999999994,1,1,1.4185582023745815
lavaMD_15cores,0.27283,11.39042,0.4297499999999985,1,1,1.4265009600558514
lavaMD_16cores,0.27167,18.688,0.3773300000000006,1,1,1.684751242254788
lavaMD_17cores,0.3028,15.74483,0.4033699999999989,1,1,1.5089714500136393
lavaMD_18cores,0.27258,13.30854,0.41687999999999903,1,1,1.4137790056419146
lavaMD_19cores,0.2725,12.2466,0.42189999999999905,1,1,1.445290219278505
lavaMD_20cores,0.27257,13.69201,0.41642000000000046,1,1,1.459423814126121
lavaMD_21cores,0.2723,9.9039,0.47279999999999944,1,1,1.3783257684196295
lavaMD_22cores,0.27202,7.61588,0.5031000000000008,1,1,1.1614748847322582
lavaMD_23cores,0.27252,7.38583,0.4966499999999989,1,1,1.2811124691722569
lavaMD_24cores,0.2723,7.89374,0.4839600000000006,1,1,1.1605866434581356
lavaMD_25cores,0.27288,11.68992,0.44519999999999804,1,1,1.3750562432632585
lavaMD_26cores,0.27325,10.19929,0.470460000000001,1,1,1.2286956586965923
lavaMD_27cores,0.27353,9.55146,0.47700999999999993,1,1,1.2692322171258468
lavaMD_28cores,0.27197,7.6392,0.5138300000000013,1,1,1.075981316155146
lavaMD_29cores,0.28144,6.65017,0.5523899999999999,1,1,1.0979820839044883
lavaMD_30cores,0.27272,5.87904,0.6172400000000007,1,1,1
lavaMD_31cores,0.27219,8.85228,0.5085299999999986,1,1,1.152655366645039
lavaMD_32cores,0.27294,5.54726,0.6328000000000005,1,1,1
lud_1cores,0.10209,444.21751,0.6084000000000174,1,17.96914086895223,9.190432167659234
lud_2cores,0.10308,229.53315,0.6397699999999986,1,34.56751967284002,8.68744197142853
lud_3cores,0.10183,157.00437,0.6847999999999956,1,51.19063381634338,8.221302880130219
lud_4cores,0.10156,117.83566,0.7267799999999909,1,67.84048493632757,7.7048620487389945
lud_5cores,0.10294,95.21074,0.7283199999999965,1,84.56642295720611,7.743972785886551
lud_6cores,0.10543,80.54555,0.7780199999999979,1,100.7554305806751,8.351352500842129
lud_7cores,0.10288,69.40719,0.8219299999999947,1,117.11676133049893,6.927728139146084
lud_8cores,0.10235,83.54505,0.8405999999999949,1,96.6149463267911,6.726324374163429
lud_9cores,0.10219,67.78339,0.8474200000000138,1,119.27403656907832,7.638499497183193
lud_10cores,0.10174,52.56586,0.9354000000000013,1,153.94275593708312,6.926330764507416
lud_11cores,0.10216,45.61804,0.9528000000000034,1,177.12025292665166,7.639002415919111
lud_12cores,0.10191,42.01329,1.0398000000000067,1,190.08623758247228,6.149291985664604
lud_13cores,0.10224,38.2694,1.0583600000000004,1,204.8,6.769543608977573
lud_14cores,0.10368,35.729,1.1283200000000022,1,204.8,5.669772308383419
lud_15cores,0.10396,33.71893,1.1811099999999968,1,204.8,5.344542626062046
lud_16cores,0.10105,32.05457,1.155380000000001,1,204.8,5.554308734066876
lud_17cores,0.11173,30.40047,1.229800000000001,1,204.8,6.473021915655302
lud_18cores,0.10311,29.98925,1.2116399999999992,1,204.8,5.975175665056834
lud_19cores,0.10426,27.71205,1.2996899999999982,1,204.8,5.558911917701721
lud_20cores,0.10393,26.3591,1.3389699999999998,1,204.8,5.403311544695353
lud_21cores,0.10177,24.8449,1.4273300000000013,1,204.8,5.550037312274203
lud_22cores,0.10239,23.76812,1.548490000000001,1,204.8,5.115758811601275
lud_23cores,0.10145,23.43396,1.5435900000000018,1,204.8,4.634887857174793
lud_24cores,0.10084,25.31998,1.4141799999999982,1,204.8,5.158454128246674
lud_25cores,0.1026,22.07607,1.511330000000001,1,204.8,4.768661375016574
lud_26cores,0.10256,21.08441,1.6490299999999998,1,204.8,4.83889325889797
lud_27cores,0.10423,22.8741,1.6206700000000005,1,204.8,4.878234762462799
lud_28cores,0.10197,19.84635,1.7216799999999992,1,204.8,4.646346458993276
lud_29cores,0.1038,19.8286,1.8476,1,204.8,4.33031368822712
lud_30cores,0.10461,19.03095,1.943439999999999,1,204.8,4.50718101789631
lud_31cores,0.10493,22.69817,2.0078999999999994,1,204.8,3.775124223859886
lud_32cores,0.10628,21.94911,1.9146099999999961,1,204.8,4.1393980724807475
myocyte_1cores,0.09621,77.66621,0.6445799999999906,1,1,1.0220867103391507
myocyte_2cores,0.11175,82.09083,1.1304200000000009,1,1.005140720400951,121.3376290645784
myocyte_3cores,0.1001,14.7145,0.36840000000000117,1.4377785529670333,1.5098213765154103,116.88039055947844
myocyte_4cores,0.09544,26.00803,0.5155299999999983,1,1,98.2742779714053
myocyte_5cores,0.11117,31.99228,0.58155,1,1,126.36170186282038
myocyte_6cores,0.09896,33.35187,0.6331700000000069,1,1,135.7890095019775
myocyte_7cores,0.0949,34.29189,0.7162099999999967,1,1,132.18775127080667
myocyte_8cores,0.10839,51.3645,0.9301099999999991,1,1,122.17337352627294
myocyte_9cores,0.09444,75.6563,1.284259999999989,1,1,107.69707109426534
myocyte_10cores,0.09426,92.76805,1.5356899999999882,1,1,91.87876589291297
myocyte_11cores,0.09445,52.1329,1.5226499999999987,1,1,111.82855166454075
myocyte_12cores,0.09789,54.82425,1.7058600000000013,1,1,111.71301512472996
myocyte_13cores,0.09719,57.71852,1.8672900000000041,1,1,111.48549795175659
myocyte_14cores,0.09728,55.95849,2.2072300000000027,1,1,102.40338134277032
myocyte_15cores,0.09601,56.24232,2.57067,1,1,94.0112699385807
myocyte_16cores,0.09945,65.6993,3.003249999999994,1,1,78.30414480901173
myocyte_17cores,0.09508,67.80676,3.1281600000000083,1,1,85.17817513982484
myocyte_18cores,0.09595,80.98749,3.6045600000000064,1,1,82.3262600384223
myocyte_19cores,0.09435,80.16678,3.945869999999985,1,1,76.32633428576075
myocyte_20cores,0.09519,75.7572,4.357610000000008,1,1,70.68927607087653
myocyte_21cores,0.09656,78.90488,4.897559999999999,1,1,68.46573940582073
myocyte_22cores,0.09506,75.31152,5.655419999999992,1,1,61.066087019831684
myocyte_23cores,0.09511,77.51438,6.483509999999995,1,1,50.22961406044519
myocyte_24cores,0.09703,127.20945,7.418520000000001,1,1,51.357976697143904
myocyte_25cores,0.09519,92.97436,7.200450000000004,1,1,54.901800035183996
myocyte_26cores,0.11698,111.25572,8.059300000000007,1,1,49.17674002988523
myocyte_27cores,0.09544,102.70468,9.340879999999999,1,1,44.61835315235327
myocyte_28cores,0.09478,125.81414,10.157080000000022,1,1,40.037114662053185
myocyte_29cores,0.09528,126.14524,12.112480000000005,1,1,37.89101316352693
myocyte_30cores,0.11004,95.57955,12.445409999999995,1,1,35.92146600997581
myocyte_31cores,0.09785,124.50868,15.05247,1,1,30.917346429025194
myocyte_32cores,0.09639,136.73201,17.644599999999997,1,1,26.50679296510779
nn_1cores,0.00033,159.40737,0.3263000000000318,204.8,1,5.3386727959688205
nn_2cores,0.01621,156.88769,0.5061000000000035,204.8,1,23.528575670743187
nn_3cores,0.00033,156.28364,0.6930300000000216,204.8,1,27.759278334796758
nn_4cores,0.00036,164.43209,0.9615500000000168,204.8,1,32.433317649557765
nn_5cores,0.00069,169.20641,1.2519000000000062,204.8,1,29.59684409835146
nn_6cores,0.00112,167.42992,1.5419600000000173,204.8,1,27.402650874022896
nn_7cores,0.00041,168.67518,1.8864100000000121,204.8,1,28.72688924235964
nn_8cores,0.00039,190.60256,2.244049999999987,204.8,1,27.58731156695455
nn_9cores,0.00056,201.26951,2.7039299999999855,204.8,1,23.88985234582742
nn_10cores,0.00036,249.57313,3.4895099999999957,204.8,1,20.982697272495944
nn_11cores,0.00072,187.82634,3.5999400000000037,204.8,1,22.87010339794728
nn_12cores,0.00046,180.88849,4.310050000000018,204.8,1,19.20424437716307
nn_13cores,0.00036,179.02775,4.745890000000003,204.8,1,19.095902080649985
nn_14cores,0.00035,179.24987,5.570780000000013,204.8,1,17.13254629926807
nn_15cores,0.00038,180.0055,6.077119999999979,204.8,1,16.960128214358438
nn_16cores,0.00085,210.23685,6.301299999999969,204.8,1,18.19944135677714
nn_17cores,0.00042,198.16013,7.078450000000004,204.8,1,16.22955987479066
nn_18cores,0.00046,221.76131,8.456230000000005,204.8,1,14.145620122436963
nn_19cores,0.00037,199.92225,8.749380000000002,204.8,1,14.39797987033595
nn_20cores,0.00037,191.8731,9.43553,204.8,1,13.868220080516942
nn_21cores,0.00093,192.97246,10.407609999999977,204.8,1,13.343944190644836
nn_22cores,0.00049,191.33586,11.853649999999988,204.8,1,12.17007616083149
nn_23cores,0.00043,191.11493,12.503640000000019,204.8,1,12.763258451166138
nn_24cores,0.00036,214.77245,13.704190000000011,204.8,1,11.448703576478486
nn_25cores,0.00036,207.80048,14.53716,204.8,1,11.666632536503139
nn_26cores,0.0008,273.40691,17.28028999999998,204.8,1,10.262856283632845
nn_27cores,0.00036,212.8316,17.183039999999977,204.8,1,10.120620249026963
nn_28cores,0.00053,212.6865,18.194970000000012,204.8,1,10.553032835265387
nn_29cores,0.00037,222.19932,19.330309999999997,204.8,1,9.677414791935941
nn_30cores,0.01712,198.49273,21.394149999999996,204.8,1,9.026547716351399
nn_31cores,0.0009,247.42967,23.296429999999987,204.8,1,8.359244984210891
nn_32cores,0.00058,272.15311,30.105309999999974,204.8,1,5.287934945483044
pathfinder_1cores,72.13429,13.99426,0.25545000000000684,1,1,3.8003799000915017
pathfinder_2cores,72.63182,7.00508,0.25309999999999544,1,1,4.324530085727458
pathfinder_3cores,72.06587,4.71012,0.2710099999999933,1,1,4.345450575763364
pathfinder_4cores,72.07462,3.71354,0.25984000000000584,1,1,4.755550867709253
pathfinder_5cores,72.24977,3.13768,0.2695499999999984,1,1,4.734800660656679
pathfinder_6cores,72.11619,2.51465,0.2691600000000025,1,1,5.102866166146482
pathfinder_7cores,72.02665,2.12837,0.27697999999999867,1,1,5.378624035491398
pathfinder_8cores,72.15978,26.63353,0.31969000000000136,1,1,4.449296427514136
pathfinder_9cores,72.12857,30.53428,0.3271500000000138,1,1,4.182125380235189
pathfinder_10cores,72.01688,42.11971,0.35441000000000145,1,1,3.818676677737069
pathfinder_11cores,73.4596,8.1657,0.3267000000000042,1,1,4.967659907095131
pathfinder_12cores,72.24357,1.67831,0.2841199999999977,1,1,6.175638481723266
pathfinder_13cores,72.07617,1.62076,0.28406999999998983,1,1,5.885094201378744
pathfinder_14cores,72.45466,1.37741,0.288929999999991,1,1,6.047736810483004
pathfinder_15cores,72.38068,1.08157,0.2827500000000065,1,1,6.261196476910201
pathfinder_16cores,71.7717,4.53221,0.3220900000000091,1,1,5.25051774199743
pathfinder_17cores,72.01928,2.59937,0.31235000000000257,1,1,5.7196964374374435
pathfinder_18cores,71.81588,5.46505,0.3720699999999848,1,1,5.011250159542227
pathfinder_19cores,71.89528,3.60091,0.32980999999999394,1,1,5.483655079605935
pathfinder_20cores,73.80463,1.2787,0.32366999999999346,1,1,5.867747302623161
pathfinder_21cores,71.89822,1.21406,0.2897200000000062,1,1,6.626308454065853
pathfinder_22cores,71.80213,1.09732,0.29255000000000186,1,1,5.827222336142161
pathfinder_23cores,71.84808,0.903,0.2989200000000012,1,1,6.165403419456687
pathfinder_24cores,71.82985,1.71195,0.32520000000001104,1,1,5.774521004280246
pathfinder_25cores,74.04383,1.59164,0.331529999999999,1,1,4.246985406009726
pathfinder_26cores,71.97716,1.15969,0.3061499999999999,1,1,4.476430201352279
pathfinder_27cores,72.20775,1.77585,0.32939999999999814,1,1,4.455102209942952
pathfinder_28cores,71.8674,1.90929,0.35231000000000146,1,1,4.313779824159387
pathfinder_29cores,71.91574,0.99562,0.3286399999999954,1,1,4.249833802531706
pathfinder_30cores,71.93472,0.7423,0.30997999999999615,1,1,4.758509798547062
pathfinder_31cores,72.45545,3.73734,0.4722099999999929,1,1,3.202338134399574
pathfinder_32cores,72.33811,5.109,0.5428899999999945,1,1,2.52163708743947
sc_1cores,5e-05,155.99804,0.3149099999999976,1,1,204.8
sc_2cores,5e-05,81.37222,0.3317300000000074,1,1,204.8
sc_3cores,4e-05,56.54946,0.3365000000000009,1,1,204.8
sc_4cores,4e-05,49.21219,0.3877700000000033,1,1,204.8
sc_5cores,4e-05,76.66562,0.6213400000000036,1,1,204.8
sc_6cores,4e-05,51.34849,0.5994700000000037,1,1,204.8
sc_7cores,5e-05,36.30828,0.5166699999999977,1,1,204.8
sc_8cores,5e-05,47.60575,0.5161999999999978,1,1,204.8
sc_9cores,5e-05,53.43233,0.5786200000000008,1,1,204.8
sc_10cores,4e-05,45.17171,0.619250000000001,1,1,204.8
sc_11cores,6e-05,26.52632,0.6166200000000011,1,1,204.8
sc_12cores,6e-05,26.63583,0.6871100000000006,1,1,204.8
sc_13cores,6e-05,24.0668,0.7011399999999988,1,1,204.8
sc_14cores,7e-05,22.63749,0.7644400000000005,1,1,204.8
sc_15cores,5e-05,21.38696,0.7639899999999997,1,1,204.8
sc_16cores,7e-05,23.45636,0.8165699999999987,1,1,204.8
sc_17cores,5e-05,21.51464,0.8493099999999991,1,1,204.8
sc_18cores,5e-05,19.82325,0.8416999999999959,1,1,204.8
sc_19cores,5e-05,21.10245,0.878499999999999,1,1,204.8
sc_20cores,5e-05,21.35364,0.9853099999999984,1,1,204.8
sc_21cores,5e-05,19.47298,1.0719700000000003,1,1,204.8
sc_22cores,5e-05,18.68789,1.0750600000000006,1,1,204.8
sc_23cores,4e-05,18.44028,1.1726799999999997,1,1,204.8
sc_24cores,7e-05,23.84089,1.2220399999999962,1,1,204.8
sc_25cores,5e-05,22.96261,1.2913399999999982,1,1,204.8
sc_26cores,5e-05,18.67558,1.2643699999999995,1,1,204.8
sc_27cores,5e-05,19.08958,1.3393699999999953,1,1,204.8
sc_28cores,5e-05,23.34315,1.6057999999999986,1,1,204.8
sc_29cores,5e-05,19.66734,1.5256100000000004,1,1,204.8
sc_30cores,5e-05,19.43105,1.6378999999999984,1,1,204.8
sc_31cores,0.00012,29.26791,2.2259700000000002,1,1,204.8
sc_32cores,5e-05,17.8701,1.8528499999999966,1,1,204.8
